category,brand,model,price,image_url,image_file,source_name,source_url,detail_url,ram,storage,processor,display,gpu,battery,camera,os,id,usage,price_text
Laptop,ASUS,"Asus Zenbook 14 OLED UM3402YA-KN104WS | 14"" OLED | Ryzen 5 5625U | Radeon Graphics | 8GB RAM | 512GB SSD | WIN 11",8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-08_LAP-ASUSUM3402YA-KN104WSR5-5625U512GBSSD8GBWIN11BLACK-O.jpg?v=1776225445&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_Zenbook_14_OLED_UM3402YA-KN104WS_14_OLED_Ryzen_5_5625U_Radeon_Graphics_8GB__4c0501c794.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/products/asus-zenbook-14-oled-um3402ya-kn104ws,8GB RAM,512GB SSD,Ryzen 5 5625U,00 In | OLED,Radeon Graphics,,,WIN 11,31,,
Laptop,ASUS,"Asus Zenbook 14 Flip OLED UP3404VA-KN133WS | 14"" OLED | i7-1360P | Iris Xe Graphics | 16 GB RAM | 512 GB SSD | WIN 11",8000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/collections/all-laptops?page=2,16 GB RAM,512 GB SSD,,OLED,,,,WIN 11,32,,
Laptop,ASUS,"ASUS Gaming V16 V3607VU-RP076W | 16"" WUXGA | Intel® Core™5 210H | RTX™ 4050 | 8 GB RAM | 512 GB SSD | WIN 11",8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_ASUSGamingV16V3607VU-RP076W.jpg?v=1777948316&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_Gaming_V16_V3607VU-RP076W_16_WUXGA_Intel_Core_5_210H_RTX_4050_8_GB_RAM_512__e1d037d362.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/products/asus-gaming-v16-v3607vu-rp076w-intel%C2%AE-core%E2%84%A25-210h,8 GB RAM,512 GB SSD,,00 In | WUXGA,,,,WIN 11,33,,
Laptop,ASUS,"ASUS ROG Strix G16 G614JU-N3532WSM | 16"" FHD+ | i5-13450HX | GeForce RTX 4050 | 16GB RAM | 512GB SSD | WIN 11",8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_ASUSROGStrixG16G614JU-N3532WSM.jpg?v=1777948397&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_ROG_Strix_G16_G614JU-N3532WSM_16_FHD_i5-13450HX_GeForce_RTX_4050_16GB_RAM_5_9c9af75e33.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/products/asus-rog-strix-g16-16,16GB RAM,512GB SSD,,00 In | FHD,GeForce RTX 4050,,,WIN 11,34,,
Laptop,ASUS,"Asus Expertbook P2451FB-EB0364R | 14"" FHD | i3-10110U | GeForce MX110 | 8GB RAM | 1TB HDD + 240GB SSD | WIN 10 PRO",8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-08_LAP-ASUSP2451FB-EB0364R10110UMX1102GB1TB_240GBSSD8GBWIN10PROSTARBLACK.jpg?v=1776225055&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_Expertbook_P2451FB-EB0364R_14_FHD_i3-10110U_GeForce_MX110_8GB_RAM_1TB_HDD_2_d0bae12a80.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/products/asus-expertbook-p2451fb-eb0364r,8GB RAM,1TB HDD,,00 In | FHD,,,,WIN 10,35,,
Laptop,ASUS,Asus ROG Strix G16 G615JMR-S5130WSM | Intel® Core™ i7-14650HX | NVIDIA® GeForce RTX™ 5060 | 16GB RAM | 1TB SSD | WIN 11,8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_AsusROGStrixG16G615JMR-S5130WSM.jpg?v=1777948534&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_ROG_Strix_G16_G615JMR-S5130WSM_Intel_Core_i7-14650HX_NVIDIA_GeForce_RTX_506_5350c65796.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/products/asus-rog-strix-g16-g615jmr-s5130wsm,16GB RAM,1TB SSD,,00 In,,,,WIN 11,36,,
Laptop,ASUS,"ASUS Gaming V16 V3607VM‑RP524W | 16"" WUXGA | Intel Core 5 | NVIDIA GeForce RTX 5060 | 16GB RAM | 512GB SSD | WIN 11",8000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_ASUSGamingV16V3607VM_RP524W.jpg?v=1777948260&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_Gaming_V16_V3607VM_RP524W_16_WUXGA_Intel_Core_5_NVIDIA_GeForce_RTX_5060_16G_8d239a6bcd.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/products/asus-gaming-v16-v3607vm-rp524w-16-wuxga-intel-core-5-nvidia-geforce-rtx-5060-16gb-ram-512gb-ssd-win-11,16GB RAM,512GB SSD,Intel Core 5,00 In | WUXGA,NVIDIA GeForce RTX 5060,,,WIN 11,37,,
Laptop,ASUS,"Asus ROG Strix G16 G615LR-S5150WSM | 16"" WQXGA | Intel Core Ultra 9 Processor 275HX | RTX 5070 Ti | 16 GB RAM | 1 TB SSD | WIN 11",8000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/collections/all-laptops?page=3,16 GB RAM,1 TB SSD,Intel Core Ultra 9 Processor 275HX,WQXGA,RTX 5070 Ti,,,WIN 11,38,,
Laptop,ASUS,"Asus ROG Zephyrus M16 (2023) GU604VY-NM042WS Gaming Laptop | 16"" QHD+ WQXGA | i9-13900H | GeForce RTX 4090 | 32GB RAM | 2TB SSD | WIN 11",8000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=7,https://www.gigahertz.com.ph/collections/all-laptops?page=7,32GB RAM,2TB SSD,,QHD | WQXGA,GeForce RTX 4090,,,WIN 11,39,,
Laptop,ASUS,"Asus TUF GAMING A15 FA507NU-LP081W | 15.6"" FHD | Ryzen 7 7735HS | GeForce RTX 4050 | 16GB RAM | 512GB SSD | WIN 11",8000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=8,https://www.gigahertz.com.ph/collections/all-laptops?page=8,16GB RAM,512GB SSD,Ryzen 7 7735HS,FHD,GeForce RTX 4050,,,WIN 11,40,,
